# Creation date: Tue May 20 10:36:29 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/simulation_catalogs/DES/DES/DES_STARCAT/Y6A1_FGCM_V3_3_1_PSF_ALL_STARS.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/DES_100.out
# CAT_LINES              : 0 100
# PARA_OUT               : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : DES_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.000000 
# GLB_CONTEXT            : -1
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 3
# NZ_PRIOR               : -1 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 11 
# AUTO_ADAPT             : NO
# ADAPT_BAND             : 5
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/simulation_catalogs/DES/DES/DES_STARCAT/WORK_COMPLETE2/zphota/spec_out
# CHI_OUT                : NO
# PDZ_OUT                : NONE
####################################### 
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 NBAND_USED 15 MAG_OBS()16-20 ERR_MAG_OBS()21-25 MAG_ABS()26-30 EMAG_ABS()31-35 ZSPEC 36
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  NBAND_USED  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  ZSPEC 
           9577                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     14.555     14.085     13.927     13.849     13.844      0.003      0.002      0.002      0.001      0.001   1013.08547   1013.08547   1013.08547   1013.08547   1013.08547   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9581                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.532     18.109     17.854     17.719     17.712      0.151      0.044      0.044      0.036      0.016   1017.10875   1017.10875   1017.10875   1017.10875   1017.10875   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9582                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.549     16.873     16.627     16.473     16.444      0.052      0.013      0.013      0.010      0.005   1015.87297   1015.87297   1015.87297   1015.87297   1015.87297   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9583                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.056     17.399     17.141     16.955     16.937      0.070      0.021      0.021      0.015      0.008   1016.39906   1016.39906   1016.39906   1016.39906   1016.39906   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9584                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.546     17.764     17.506     17.359     17.307      0.153      0.029      0.029      0.022      0.011   1016.76402   1016.76402   1016.76402   1016.76402   1016.76402   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9586                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.389     17.572     17.261     17.052     16.996      0.132      0.025      0.025      0.017      0.009   1016.57229   1016.57229   1016.57229   1016.57229   1016.57229   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9587                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     15.219     14.816     14.683     14.633     14.641      0.006      0.003      0.003      0.002      0.002   1013.81590   1013.81590   1013.81590   1013.81590   1013.81590   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9589                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.648     17.108     16.921     16.806     16.795      0.047      0.016      0.016      0.013      0.007   1016.10848   1016.10848   1016.10848   1016.10848   1016.10848   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9591                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.151     16.565     16.343     16.193     16.177      0.029      0.010      0.010      0.008      0.004   1015.56450   1015.56450   1015.56450   1015.56450   1015.56450   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9593                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     4     13.304     13.084     13.054     13.019     13.028      0.001      0.001      0.001      0.001      0.002   1012.08418   1012.08418   1012.08418   1012.08418   1012.08418   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
